ts_epoch,Hex,Flight,Lat,Lon,Alt,Track,Speed,Squawk,Messages,Groundspeed,Rate_of_climb,af_category,ts_iso8601
1693090215,ad6b0c,,0,0,0,0,0,,424,0,0,A3,2023-08-26T17:50:14-05:00
1693090215,a59d63,ASA281  ,44.626558,-93.349222,34000,278.4,409.4,1375,1922,409.4,0,A3,2023-08-26T17:50:14-05:00
1693090215,abb6bc,,0,0,5900,0,0,1037,2724,0,0,A2,2023-08-26T17:50:14-05:00
1693090245,a605f0,,0,0,0,0,0,,5,0,0,,2023-08-26T17:50:44-05:00
1693090245,a2b133,,45.705231,-93.478312,37000,105.2,521.3,,94,521.3,0,A3,2023-08-26T17:50:44-05:00
1693090245,acb82c,DAL2034 ,44.862997,-92.343303,19650,275.3,357.5,1364,525,357.5,-2496,A3,2023-08-26T17:50:44-05:00
1693090245,a6dfbf,JIA5588 ,44.733535,-92.8401,10450,111.2,303.6,3630,798,303.6,0,A3,2023-08-26T17:50:44-05:00
1693090245,a9bb53,N726RF  ,45.03804,-92.855791,19550,99.3,477.3,534,854,477.3,0,A2,2023-08-26T17:50:44-05:00
1693090245,ad2baa,JBU96   ,44.42244,-92.472185,35000,102.6,520.6,3515,977,520.6,0,A3,2023-08-26T17:50:44-05:00
1693090245,a6ff6c,N550AA  ,44.615479,-92.122706,45000,121.1,534.7,2435,1635,534.7,0,A3,2023-08-26T17:50:44-05:00
1693090245,ade191,DAL2992 ,44.867186,-92.649179,14525,268.7,342.1,3311,1444,342.1,-2240,A3,2023-08-26T17:50:44-05:00
1693090245,ac0b96,,0,0,0,0,0,,194,0,0,A3,2023-08-26T17:50:44-05:00
1693090245,aaeb1b,GAJ802  ,45.005814,-93.193359,7100,300.4,280.6,3170,2129,280.6,0,A1,2023-08-26T17:50:44-05:00
1693090245,abb839,,44.948467,-92.95961,1700,273,115.2,1200,678,115.2,0,,2023-08-26T17:50:44-05:00
1693090245,a44308,DAL1717 ,44.907532,-92.931257,8875,294.2,287.3,2441,2819,287.3,-2560,A3,2023-08-26T17:50:44-05:00
1693090245,c058bf,ACA740  ,44.515671,-91.348438,40975,90.4,547,3275,1605,547,0,A5,2023-08-26T17:50:44-05:00
1693090245,a65a7a,,0,0,0,0,0,,1206,0,0,A1,2023-08-26T17:50:44-05:00
1693090245,a59d63,ASA281  ,44.640244,-93.475565,34000,278.4,408.4,1375,1936,408.4,0,A3,2023-08-26T17:50:44-05:00
1693090245,abb6bc,,0,0,5900,0,0,1037,2724,0,0,A2,2023-08-26T17:50:44-05:00
1693090275,a66175,,0,0,30000,302,280.8,,6,280.8,0,,2023-08-26T17:51:14-05:00
1693090275,a605f0,,0,0,0,0,0,,5,0,0,,2023-08-26T17:51:14-05:00
1693090275,a2b133,,0,0,37000,0,0,,97,0,0,A3,2023-08-26T17:51:14-05:00
1693090275,acb82c,DAL2034 ,44.866516,-92.412153,18325,273.6,353.7,1364,780,353.7,-2944,A3,2023-08-26T17:51:14-05:00
1693090275,a6dfbf,JIA5588 ,44.718018,-92.784184,11250,111.1,321.6,3630,945,321.6,0,A3,2023-08-26T17:51:14-05:00
1693090275,a9bb53,N726RF  ,45.02728,-92.765205,18325,99.7,457.5,534,1138,457.5,0,A2,2023-08-26T17:51:14-05:00
1693090275,ad2baa,,44.392548,-92.286726,35000,102.8,522.1,,992,522.1,0,A3,2023-08-26T17:51:14-05:00
1693090275,a6ff6c,N550AA  ,44.577484,-92.03476,45000,121.3,532.7,2435,1814,532.7,0,A3,2023-08-26T17:51:14-05:00
1693090275,ade191,DAL2992 ,44.866116,-92.715901,13400,269,336.1,3311,1700,336.1,-1664,A3,2023-08-26T17:51:14-05:00
1693090275,ac0b96,,0,0,0,0,0,,194,0,0,A3,2023-08-26T17:51:14-05:00
1693090275,aaeb1b,,45.005814,-93.193359,7100,300.5,277.5,3170,2132,277.5,0,A1,2023-08-26T17:51:14-05:00
1693090275,abb839,,0,0,1500,0,0,1200,707,0,0,,2023-08-26T17:51:14-05:00
1693090275,a44308,DAL1717 ,44.923187,-92.980695,8025,294.1,271.7,2441,3069,271.7,-1408,A3,2023-08-26T17:51:14-05:00
1693090275,c058bf,ACA740  ,44.514972,-91.24112,41000,90.5,547,3275,1729,547,0,A5,2023-08-26T17:51:14-05:00
1693090275,a65a7a,,0,0,0,0,0,,1206,0,0,A1,2023-08-26T17:51:14-05:00
1693090275,a59d63,,44.640244,-93.475565,34000,278.4,408.4,,1937,408.4,0,A3,2023-08-26T17:51:14-05:00
1693090275,abb6bc,,0,0,0,0,0,,2724,0,0,A2,2023-08-26T17:51:14-05:00
1693090305,a16ff1,,0,0,36025,0,0,,6,0,0,,2023-08-26T17:51:44-05:00
1693090305,a66175,,44.947311,-92.056209,30000,301.9,281.6,5622,17,281.6,0,,2023-08-26T17:51:44-05:00
1693090305,a605f0,,0,0,0,0,0,,5,0,0,,2023-08-26T17:51:44-05:00
1693090305,a2b133,,45.624126,-93.060654,37000,105.4,521.9,,135,521.9,0,A3,2023-08-26T17:51:44-05:00
1693090305,acb82c,DAL2034 ,44.869468,-92.481101,16925,272.4,351.3,1364,1065,351.3,-2432,A3,2023-08-26T17:51:44-05:00
1693090305,a6dfbf,JIA5588 ,44.702112,-92.72682,11950,111.2,340,3630,1014,340,0,A3,2023-08-26T17:51:44-05:00
1693090305,a9bb53,N726RF  ,45.016479,-92.675956,16850,99.6,450.3,534,1348,450.3,0,A2,2023-08-26T17:51:44-05:00
1693090305,ad2baa,,44.379738,-92.20852,35000,102.8,522.1,,1000,522.1,0,A3,2023-08-26T17:51:44-05:00
1693090305,a6ff6c,N550AA  ,44.557892,-91.989768,45000,121.5,532.4,2435,1901,532.4,-64,A3,2023-08-26T17:51:44-05:00
